"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,13,0,6,9,7,0,15,0,0
13,11,0,6,2,10,0,5,0,3
0,4,41,0,1,2,2,0,0,0
4,5,9,18,3,2,0,5,0,4
0,1,2,0,8,0,28,0,11,0
2,1,6,1,8,4,1,0,26,1
18,0,0,3,1,9,18,0,0,1
1,11,14,1,10,5,1,1,5,1
0,1,4,0,17,9,4,3,8,4
0,7,4,4,0,7,0,6,21,1
0,0,0,3,5,0,0,2,33,7
0,0,12,4,0,11,4,4,5,10
0,3,17,7,2,9,10,0,2,0
1,0,1,17,2,2,8,18,1,0
2,0,12,16,10,3,1,0,5,1
7,1,2,6,1,3,9,4,1,16
2,4,8,0,1,11,0,3,13,8
3,0,2,3,8,0,19,0,13,2
0,1,0,2,26,2,4,6,9,0
5,17,6,2,2,1,5,10,0,2
0,21,0,0,23,3,0,3,0,0
3,5,9,0,24,2,3,4,0,0
6,7,3,4,0,3,0,10,17,0
0,0,11,1,1,4,19,7,6,1
2,12,3,10,2,4,0,3,1,13
8,11,3,13,0,2,0,3,6,4
0,9,14,5,1,9,12,0,0,0
12,0,8,0,9,2,8,6,5,0
2,0,0,0,26,0,22,0,0,0
8,5,1,1,3,2,3,12,2,13
34,0,2,0,3,1,0,10,0,0
6,8,8,1,3,11,0,0,0,13
2,0,1,13,0,3,0,3,14,14
5,0,0,22,16,1,1,0,2,3
0,0,0,0,6,0,29,0,0,15
2,4,2,4,6,0,6,2,24,0
17,1,2,0,9,0,2,6,4,9
0,4,12,5,16,6,1,0,4,2
0,0,6,0,0,10,20,11,2,1
4,0,0,0,0,18,0,1,1,26
0,4,1,0,7,20,0,0,11,7
1,26,4,9,0,2,4,1,1,2
1,12,5,2,6,2,17,0,3,2
1,14,2,8,6,5,8,1,4,1
0,0,16,5,3,5,2,3,1,15
0,9,3,0,0,11,3,5,2,17
15,1,2,1,1,12,0,0,15,3
13,8,1,17,1,0,1,8,0,1
0,0,19,0,12,1,4,2,5,7
13,21,1,0,0,3,1,0,10,1
1,2,0,5,24,4,7,2,4,1
2,0,1,0,1,21,4,0,0,21
4,3,18,2,0,5,1,0,5,12
0,1,0,29,0,5,9,4,0,2
0,1,5,1,3,9,25,1,0,5
5,1,19,8,0,0,7,7,2,1
0,8,0,1,1,0,3,17,20,0
3,7,0,13,5,5,10,4,2,1
9,8,1,10,0,0,2,20,0,0
8,3,0,0,0,0,2,1,15,21
0,13,3,0,1,32,0,0,0,1
11,4,1,16,0,0,12,4,0,2
0,0,16,6,18,0,0,0,2,8
0,0,0,22,14,0,7,1,1,5
1,2,26,6,2,0,0,4,8,1
3,0,2,1,24,0,5,12,1,2
19,2,0,2,3,3,16,3,0,2
0,1,7,6,11,0,13,2,0,10
0,3,6,1,8,0,10,8,13,1
9,23,0,0,0,0,1,6,11,0
0,1,10,1,0,3,2,1,32,0
1,3,6,4,1,16,7,8,3,1
17,0,2,0,2,3,0,5,9,12
23,1,2,6,11,0,0,1,3,3
12,25,0,2,0,0,2,0,8,1
0,2,20,4,1,2,2,8,8,3
0,8,1,2,8,0,4,10,2,15
19,1,5,3,1,4,8,5,4,0
0,2,5,2,30,1,1,0,9,0
1,4,0,1,5,9,17,7,0,6
3,20,0,1,1,6,1,6,11,1
0,5,12,2,5,18,0,2,5,1
0,0,3,0,29,2,7,4,4,1
6,0,1,12,0,0,0,1,22,8
0,5,3,0,22,1,7,6,5,1
1,4,0,8,32,2,0,2,1,0
0,0,3,4,20,15,0,5,2,1
6,13,15,2,0,12,0,0,1,1
7,19,2,0,1,2,2,8,2,7
9,16,0,4,0,13,0,2,1,5
0,9,10,1,0,0,1,4,25,0
2,22,1,6,0,2,2,6,7,2
5,2,3,7,15,1,7,5,1,4
5,4,0,0,23,5,0,3,0,10
11,1,1,0,7,4,0,0,0,26
0,1,7,1,6,5,0,26,4,0
20,0,1,3,6,10,0,0,8,2
15,1,9,1,3,2,3,1,7,8
9,11,1,0,7,0,0,6,0,16
5,23,4,0,6,1,0,7,4,0
